Name,Desc,Category,url
Biconomy,Biconomy is a Web3 developer and transaction infrastructure platform that helps developers deliver effortless experiences to their end users.,INFRA,https://www.biconomy.io/
Bilinear,Join Bilinear.io and experience our user-friendly interface and get into the world of collectibles. Create and share your own digital assets with the community.,NFT,https://www.bilinear.io/
Bing0x,"Bingo Live team has rich experiences in online casual games, and the core team members come from Zynga, AppLovin, Lion Studios, and YOOZOO.",ENTERTAINMENT,https://app.bingo0x.com/
BitAvatar,"Soulbound Avatar Identity for Multi-Ecosystem Social & Communication. Customize, interact, and build reputation with unique and personalized digital identities.",ENTERTAINMENT,https://linea.bitavatar.io/
Bitget Wallet,"Bitget Wallet, Your Web3 Crypto Wallet for effortless trading. The reliable choice for 10,000,000 users worldwide.",WALLET,https://web3.bitget.com/en
Blast API,Blast API is a multichain API platform featuring the fastest and most reliable access to the most relevant networks in Web3.,INFRA,https://blastapi.io/
BlockPI Network,"BlockPI is a globally distributed RPC provider, we focus on offering cost-effective high performance and low latency RPC services for web3 projects.",INFRA,https://blockpi.io/
BlockWallet,"A self custodial Web3 wallet that streamlines your crypto journey across major chains, blending unbeatable security with a user-friendly experience.",WALLET,https://blockwallet.io/networks/linea-wallet
Bookmaker.XYZ,The first of its kind betting service built directly into the internet.,ENTERTAINMENT,http://bookmaker.xyz/
Bounce,Bounce Finance is a decentralized auction protocol that empowers users to create and join various types of on-chain auctions on multiple blockchain networks.,DEFI,https://www.bounce.finance/
Brian,Explore the AI-powered brain of web3. One prompt at a time.,AI,https://www.brianknows.org/
Bybit,"Established in March 2018, Bybit is one of the fastest growing cryptocurrency exchanges, with more than 16 million users",CEX,https://bybit.com/
CARV,"CARV's mission is to empower users with data self-sovereignty and to share value captured from the utility of data in a consent-based, privacy-preserving mechanism.",DATA SERVICE,https://carv.io/
Carbon Browser,Carbon Browser is fast decentralized web3 browser with 100% privacy and an integrated multichain wallet with cross-chain swaps.,INFRA,https://carbon.website/
Cataclysm,Cataclysm is a free2play multiplayer game launching in late 2023. Join our Discord to try our minigame “Cataclysm: Zero Mission” and many other fun activities!,ENTERTAINMENT,https://www.cataclysm-game.com/
Cede.store,Cede.store is a non-custodial solution bridging CeFi with DeFi. Access CeFi liquidity with your Centralized Exchanges from your favorite dApps on the Linea ecosystem and others.,"BRIDGE
GASPASS ENABLED",https://send.cede.store/
Celer Network,"Celer is a blockchain interoperability protocol enabling a one-click user experience accessing tokens, DeFi, GameFi, NFTs, governance, and more across multiple chains.",INFRA,https://celer.network/
Celer cBridge,Celer cBridge is a decentralized and non-custodial asset bridge that has processed $13B+ cross-chain asset transfer volume for more than 160K unique users.,BRIDGE,https://cbridge.celer.network/56/59144/BNB
Chainge Finance,Chainge Finance is an all-in-one DeFi app that currently stands as the most liquid cross-chain aggregated DEX encompassing over 50 EVM and non-EVM chains,BRIDGE,https://dapp.chainge.finance/
Chainlink,Chainlink is the industry-standard Web3 services platform and leading decentralized oracle network. Chainlink empowers devs to build feature-rich Web3 dapps across any blockchain.,"DATA SERVICE
DEV TOOLS
INFRA",https://chain.link/
ChangeNOW,"A non-custodial service created for simple and fast crypto exchanges. 900+ coins available for exchange and no limits--account-free, worry-free, faster than light.","DEFI
BRIDGE",https://changenow.io/
Chimp Exchange,"At the heart of Chimp Exchange lies the commitment to simplify DeFi for all. By uniting trading, staking, farming, Launchpad and NFT based memberships in one cohesive ecosystem, we empower users to explore a range of financial avenues, all in a single, user-friendly interface.","DEFI
LAUNCHPAD",https://chimp.exchange/
Circle,Circle develops open stablecoin protocols and Web3 wallet infrastructure to enable businesses to harness the power of public blockchains for payments and financial services worldwide.,INFRA,https://www.circle.com/en/usdc
Clip Finance,"Transforming on-chain asset management. We bridge capital holders & professional asset managers via secure, non-custodial liquidity management infra to create new revenue opportunities",INFRA,https://www.clip.finance/
Clique,"Clique is a company that has pioneered a new type of primitives, identity oracles, which brings web2 user behavior and identity data on-chain.",IDENTITY,https://www.clique.social/attestor/twitterLinea
CoinFactory,"CoinFactory is an ERC20 and BEP20 Tokens Generator allowing anyone to deploy mintable, burnable and other customized smart-contracts from your browser without writing code",DEV TOOLS,https://coinfactory.app/
CoinStats,"CoinStats is a crypto portfolio manager enabling to track all of your crypto assets in one place, supporting over 70 blockchains and 100 exchanges.",DATA SERVICE,https://coinstats.app/
Coinvise,Coinvise offers a no-code toolkit and infrastructure for rewarding users with NFTs/tokens for making on/offchain contributions,SOCIAL,https://www.coinvise.co/
Collab.Land,"An automated member management system for tokenized communities--combine tokens from multiple chains, give access based on NFT metadata, accommodate staked tokens, & much more.",SOCIAL,https://linea.build/invite.collab.land
Common Ground,The Web3 Discord alternative for people serious about blockchain.,SOCIAL,https://commonground.cg/
Consensys Diligence,Security is critical in the blockchain space. Our comprehensive smart contract audit service helps everyone from startups to enterprises launch & maintain their Ethereum dapps,SECURITY,https://consensys.io/diligence/
Cookbook.dev,"A smart contract registry where developers can find solidity primitives, libraries, and smart contracts for protocols across blockchains that use solidity.",DEV TOOLS,https://www.cookbook.dev/
Cookie3,"Aa Web2.5  attribution & user analytics platform that combines on-chain, in-platform, and social user data to provide businesses with a deep understanding of users & community.",DATA SERVICE,https://www.cookie3.co/
Covalent,Covalent's industry-leading Unified API brings visibility to billions of data points across 100+ blockchains for developers building multi-chain applications.,DATA SERVICE,https://www.covalenthq.com/
CricketFly,"CricketFly is the first-ever sci-fi-themed cricket game in the world, and it's now available on the GamiFly platform.",ENTERTAINMENT,https://gamifly.co/index.html
CrossLightning,"CrossLightning is a fully trustless cross-chain DEX protocol between smart chains (EVM & Solana) and Bitcoin (on-chain & lightning network), which allows bypassing CEXs & vulnerable bridges.",BRIDGE,https://linealightning.z6.web.core.windows.net/
CrusSwap,Crus is a DEX with flexible liquidity management and optimized trading paths for increased capital efficiency and reduced slippage.,DEFI,https://linea.crus.xyz/
CyVers,"CyVers is a Web3 proactive protection solution that monitors & detects hacks, and prevents fund losses thanks to an advanced AI-driven engine.",SECURITY,https://cyvers.ai/
Cyber8Ball,"A play-to win pool game available on PC and mobile devices with an immersive cyberpunk-themed PVP gaming experience that integrates NFTs, token rewards & more!",ENTERTAINMENT,https://linktr.ee/cyber8ball
CyberConnect,CyberConnect is web3’s earliest and biggest decentralized social network.,SOCIAL,https://cyberconnect.me/
DAuth Network,DAuth makes social logins anonymous and decentralized by building the Web3 OAuth with zk-technology.,IDENTITY,https://www.dauth.network/
DIA,"A cross-chain oracle, delivering transparent, customizable data for 20,000+ assets, including tokens, NFTs, LSTs and more. Directly sourced from 90+ exchanges.",DATA SERVICE,https://diadata.org/
DLN,"DLN brings the most powerful trading experience to cross-chain, enabling users and protocols to trade assets natively across chains in seconds without liquidity pool exposure.",DEFI,https://app.dln.trade/
DODO,"DODO is a decentralized trading platform that uses the innovative Proactive Market Maker (PMM) algorithm to provide efficient on-chain liquidity for Web3 assets, making it easy for everyone to issue and trade these assets.",DEFI,https://dodoex.io/en
DRPC,"Reliable, Scalable & Cost-efficient Decentralized RPC network of independent third-party partners and public nodes. Register in seconds and use it for free or pay-as-you-go.",INFRA,https://drpc.org/
DSLA,We build peer-to-peer applications and networks that bridge the gap between consumer rights and third-party risk.,INFRA,https://stacktical.com/
DapDap,"Dap Dap is a one-stop dApp aggregator, designed to be the universal gateway into the L2 ecosystem. DapDap = DappRadar x DeBank + Wallet Access. This is an essential platform for every DeFi user.",DEFI,https://www.dapdap.tech/
DappGate,"DappGate: Your gateway to decentralized applications. Connect, interact & discover the future of web3 seamlessly.",BRIDGE,https://dappgate.io/
Dappad,"We've built a bridge that connects Layer2 projects with early investors. That's Dappad launchpad. For projects, it’s about gaining access to early investors, leveraging our tools, and collaborating within our ecosystem. For investors, it's about getting in early, securing their investments, and even having a say in the project's future decisions. https://dappad.app/",LAUNCHPAD,https://dappad.app/
DeBridge,deBridge is a secure cross-chain infrastructure for high performance interoperability,BRIDGE,https://debridge.finance/
DeCommas API,"Scalable, speedy and cost-efficient indexed Blockchain-, NFT- and Protocol- data accessible through a developer friendly API.",DEV TOOLS,https://build.decommas.io/
DeFi Builder,"DeFi Builder is the first AI Powered fully no-code Web3 development solution, allowing anyone to become a Web3 entrepreneur.",DEV TOOLS,https://ai.defibuilder.com/
Decubate,"Empowering Web3 entrepreneurs & investors, Decubate is your go-to launchpad, providing robust token management tools and solutions for decentralized success.",LAUNCHPAD,https://www.decubate.com/
Decurity,"A full-stack security review services covering both web3 components and web2 infrastructure of audits, monitoring and transaction analysis system to detect hacks on-chain.",SECURITY,https://www.decurity.io/
Deri Protocol,"Deri Protocol is the DeFi way to trade derivatives: to hedge, to speculate, to arbitrage, all on chain. Deri supports 4 derivative types: Futures, Options, Power Perpetuals & Gamma Swap",DEFI,https://deri.io/
Desig,"Smart multisig wallet - Simplify treasury ops, gasless vault control, intel-driven Swap, optimal Staking for high yield. Grow fund with detailed cashflow report",WALLET,https://desig.io/
Dmail Network,"Dmail Network is building an AI-powered decentralized communication infra, offering encrypted emails, consolidated notifications, and precise marketing services across multiple chains and applications, catering to users, developers, and marketers.",SOCIAL,https://mail.dmail.ai/compose
Dyson Finance,"The most retail-friendly DEX, aiming to democratize the on-chain liquidity paradigm. Anyone can effortlessly provide liquidity and earn high yields like a pro.",DEFI,https://dyson.finance/
ENor Securities,"eNor Securities stands as more than a conventional exchange, it's a transformative experience empowering individuals and businesses to explore, trade, invest, and innovate boundlessly.",DEFI,https://enorsecurities.com/en/
EchoDEX,"EchoDEX has launched its mainnet, allowing users to utilize nearly all features. However, some asset types will be added soon, such as USDT, USDC, DAI, and more","DEFI
GASPASS ENABLED",https://www.echodex.io/
Echooo wallet,"Combining MPC and AI technologies, Echooo is the next-generation account abstraction smart contract wallet, powered by ERC-4337.",WALLET,https://www.echooo.xyz/
Element,"Element Market, the first community-driven aggregated marketplace. provides users with high liquidity, lowest transition fee, powerful trading utilities, and intelligent & instant data services.",NFT,https://element.market/linea
Enso,"Enso offers a unified API for developers to embed DeFi actions such as: swapping, lending, borrowing, vaults, and lping in their app natively.","DEFI
DEV TOOLS",https://www.enso.finance/
Envio,"A blazingly fast, feature-rich data indexing framework designed for querying real-time and historical data from any EVM. By builders. For builders.","DATA SERVICE
INFRA",https://envio.dev/
Ethereum Attestation Service,Public good for making attestations onchain or offchain.,INFRA,https://linea.easscan.org/
Ethereum-lists,"Ethereum-lists Ethereum-lists aggregates curated Ethereum Lists for chains, contracts, tokens, ens, etc.",DEV TOOLS,https://twitter.com/EthereumLists
Ethers,The ethers.js library aims to be a complete and compact library for interacting with the Ethereum Blockchain and its ecosystem.,,https://ethers.org/
Etherscan,"Etherscan is the leading block explorer and search, API & analytics platform with the mission of providing equitable access to blockchain data.",DATA SERVICE,https://lineascan.build/
Etherspot,An Account Abstraction platform that provides solutions for any dApp or protocol to deliver frictionless Web3 UX by removing usability pain-points.,DEV TOOLS,https://etherspot.io/
FWDX,"FWDX is a decentralised P2P swap platform, solving some of the key problems around fraud and uncertainty that have been prevalent in the digital asset marketplace.",DEFI,https://testnet.fwdx.xyz/
Flair,"Flair offers reusable indexing primitives (such as fault-tolerant RPC ingestors, custom processors, re-org aware database integrations) to make it easy to receive, transform, store and access your Linea on-chain data.",DATA SERVICE,https://flair.dev/
FlashPad,"Sail the innovation waves with Flashpad – a cutting-edge DEX & Launchpad on Linea, powered by thunder & lightning with all utilities running like a flash!","LAUNCHPAD
DEFI",https://flashpad.io/
Fluvi Inc.,Your non-custodial account abstraction wallet offering seamless multichain + multi-device sync with AA essentials like gasless & batch transactions.,WALLET,https://fluviwallet.xyz/
Footprint Analytics,"Footprint Analytics is a blockchain data solutions provider leveraging cutting-edge AI technology to help analysts, builders, and investors turn blockchain data & web2 data into insights.",DATA SERVICE,https://www.footprint.network/
Forward,"Forward is the WordPress of Web 3.0, no-code full stack solution that enables people to deploy dApps on any chain. Developers can monetize their built templates.",INFRA,https://forwardprotocol.io/
FoxWallet,"FoxWallet is a safe and easy-to-use decentralized multi-chain wallet, dedicated to creating an entrance and connection to the Web3 world.",WALLET,https://foxwallet.com/
Galxe,Galxe is the leading platform for building web3 community.,SOCIAL,https://galxe.com/
GamerBoom,"GamerBoom is an intent-centric gaming social platform designed for the digital-native generation, blending the best of Web2 gaming with the possibilities of Web3.","SOCIAL
ENTERTAINMENT",https://www.gamerboom.org/
Gamic app,,ENTERTAINMENT,https://gamic.app/
Gamma,A protocol for active liquidity management and market making strategies.,DEFI,https://www.gamma.xyz/
Gate.io,Gate.io is a full-service digital asset exchange platform covering millions of users around the world.,CEX,https://www.gate.io/
Gauntlet,"Gauntlet helps DeFi protocols, blockchains, and DAOs efficiently incentivize users and mitigate market risks by providing quantitative research and economic optimization solutions.",SECURITY,https://www.gauntlet.xyz/
GeckoTerminal,"GeckoTerminal is a DEX aggregator from CoinGecko. Track real-time crypto prices and market data across Ethereum, Linea, BSC and 100+ more networks.",DATA SERVICE,https://www.geckoterminal.com/
Gelato Network,"As web3’s decentralized backend, Gelato empowers builders to create augmented smart contracts that are automated, gasless & off-chain aware.",INFRA,https://www.gelato.network/
Geno x dPrism.ai,Geno is the world's first Decentralized Data Lakehouse Protocol that works alongside with all ecosystem.,DATA SERVICE,https://www.geno.id/
GetBlock,GetBlock is a blockchain RPC provider that simplifies access to 50+ multiple blockchain networks and their data for developers.,INFRA,https://getblock.io/docs/
GhostNFT,ghostNFT introduces NFT 2.0 open-source standard that enables asset-backed NFTs to provide more versatility for NFT holders and creators.,NFT,https://nft.ghostchain.io/
Gitcoin Passport,Gitcoin Passport is the premier solution for easy-to-use identity management tools that protect communities from Sybils and bots.,IDENTITY,https://passport.gitcoin.co/#/?dashboard=verax
GoPlus Security,"GoPlus Security works as the security infrastructure for web3, by providing open, permission-less, user-driven security services.",SECURITY,https://gopluslabs.io/
Goldsky,"Goldsky is a high-performance data indexer that lets you extract and transform Linea chain data, and consume this data via API or in your own self-hosted infra.","DATA SERVICE
INFRA",https://goldsky.com/
Granary,A decentralized non-custodial liquidity market protocol. Users can participate as depositors to earn a passive income or as borrowers in an over or under-collateralized way.,DEFI,https://granary.finance/
Gravita Protocol,Gravita Protocol is a decentralised borrowing protocol built on Ethereum that provides users with interest-free loans secured by both Liquid Staking Tokens and a Stability Pool,DEFI,https://app.gravitaprotocol.com/
Gridex Protocol,"Gridex is the first infinitely scalable fully on-chain order book protocol - allowing you to trade like on a CEX, but while keeping custody of your funds.","DEFI
GASPASS ENABLED",https://www.gdx.org/
Guild.xyz,"Guild is the homepage and toolkit for onchain communities. Designed to automate token-gating and membership management, run campaigns, build Sybil defense, and leverage token rewards.",SOCIAL,https://guild.xyz/
HAPI Protocol,HAPI is an on-chain cybersecurity protocol that aims to prevent hackers and exploiters from committing fraud across various blockchains.,SECURITY,https://hapi.one/
Hacken,"Trusted blockchain security auditor ensuring Web3 safety. Achieved zero exploits in 2022 with 1,200 audited clients, contributing to security standards.",SECURITY,https://hacken.io/
Hal,"Turn smart contracts into APIs. Implement Web3 notifications for your users. Query, trigger, monitor, and automate blockchain data quickly and easily.",INFRA,https://www.hal.xyz/
Halliday,"Enabling game devs to build the next breakout hit. Programmable ERC-4337 Smart Accounts that are fully non-custodial, built to scale, and designed just for games.","ENTERTAINMENT
DEV TOOLS",https://linea.build/docs.halliday.xyz
HashCloak Inc,HashCloak is an R&D firm focused on helping teams build full-stack privacy into their blockchain products to provide protection at every layer.,SECURITY,https://linea.build/hashcloak.com
Hedgey,"Hedgey is onchain token vesting. It's free, self-service, and lets teams distribute tokens to their core contributors using time-based unlock schedules.",LAUNCHPAD,https://hedgey.finance/
Hex Trust,"Hex Trust is a fully-licensed digital asset custodian that provides solutions for protocols, foundations, financial institutions, and the Web3 ecosystem.",INFRA,https://hextrust.com/
Hexagate,"A SaaS-based, Web3 security vendor that safeguards chains, protocols, bridges, and wallet users from fund loss incidents.",SECURITY,https://www.hexagate.com/
Hexens,"The most hardcore full-service security team in web3 and the leading expert in both liquid staking, and novel cryptography like zero-knowledge proofs and more.",SECURITY,https://linea.build/hexens.io
Hodlify,"A pioneering DeFi platform that dynamically allocates funds across multiple chains in response to market conditions and optimizes returns by navigating profitable protocols, offering sizable APYs.",,https://alpha.hodlify.io/
Holdstation,"Holdstation is Smart Contract Wallet for Futures Trading. EVM Compatible, Making DeFi as easy as CeFi! Trade BTC, ETH & more with 500x leverage on Holdstation.",WALLET,https://holdstation.com/wallet.html
Horizon DEX,The first concentrated liquidity DEX built on Linea.,DEFI,https://horizondex.io/
Hypernative,Hypernative is a Web3 real time security and risk prevention platform that detects real time attacks.,SECURITY,https://www.hypernative.io/
Hypernative,"Hypernative stops zero day cyber attacks, economic risks, detects on-chain anomalies and protects digital assets, protocols and Web3 applications from significant losses or threats.",SECURITY,https://hypernative.io/
ICHI,ICHI is a concentrated liquidity manager that enables the use of sophisticated algorithmic strategies on AMMs.,"GASPASS ENABLED
DEFI",https://app.ichi.org/
IDriss,A community-owned and operated suite of tools making web3 more usable for everyone. Send crypto directly on Twitter using Linea.,SOCIAL,https://www.idriss.xyz/
IZUMi Finance,"iZUMi Finance is a DeFi protocol providing one-stop Liquidity as a Service (LaaS), dedicated to building a top DEX and providing liquidity service on ZK-rollups and multi-chains.","DEFI
GASPASS ENABLED",https://izumi.finance/home
ImToken,"imToken, a reliable non-custodial mobile wallet for tokens you own - cryptocurrencies, stable coins, NFTs, and more. We are inspired to make digital life equally accessible to everyone.",WALLET,https://token.im/
ImaginAIry NFTs,"Unleash creativity with AI-generated art. Mint unique NFTs from your AI-dreamed designs. Your Prompt, Your Art, Your NFT!",NFT,https://www.imaginairynfts.com/
Immunefi,"The leading bug bounty platform for web3 with the world's largest bounties and payouts. Immunefi has helped avert over $25B worth of hack damage, and has paid out $80M+ to whitehat hackers.",SECURITY,https://immunefi.com/
Infura,The world's most powerful suite of high availability blockchain APIs and developer tools. Everything needed to start building on Web3.,INFRA,https://www.infura.io/
Interport Finance,Pushing cross-chain boundaries for seamless DeFi operations. We empower traders with fast cross-chain swaps at the best rates.,"DEFI
BRIDGE",https://interport.fi/
Ironblocks,"Ironblocks is a security platform designed to protect blockchain protocols and communities. Using machine learning, deep threat analysis, and our on-chain firewall, we stop attacks before they happen.",SECURITY,https://www.ironblocks.com/
Jokerace,"Jokerace is the contest platform for communities to make, execute, and reward decisions.",SOCIAL,https://jokerace.xyz/
Jumper Exchange,"Crypto’s Everything Exchange: Jumper is the best place to swap, bridge, and trade tokens on 20+ chains.","DEFI
BRIDGE",https://jumper.exchange/?utm_source=linea&utm_medium=ecosytem_page&utm_campaign=Listing
KUMA Protocol,"The KUMA Protocol, built by Mimo, provides ERC-20 interest-bearing tokens backed by Real-World Assets, giving users access to traditional assets in a DeFi-compatible and permissionless way.",DEFI,https://kuma.bond/
Karma3 Labs,Karma3 Labs is building a ranking and reputation infrastructure using the EigenTrust algorithm.,IDENTITY,https://karma3labs.com/
Kommunitas.net Inc.,Kommunitas is a decentralized crowdfunding ecosystem for web 3.0 projects.,LAUNCHPAD,https://kommunitas.net/
Krystal,Krystal is the simplest web3 wallet for everyone allowing users to access cutting-edge portfolio management tools and conduct on-chain transactions.,WALLET,https://krystal.app/
KyberSwap,"KyberSwap is your crosschain decentralized exchange & aggregator on 15 chains & the home of KyberAI, the crypto trader’s tool to get alpha before it happens.","DEFI
GASPASS ENABLED",https://kyberswap.com/
L2scan,The first native block explorer for cross Layer2s. Built by Unifra Network.,INFRA,https://linea.l2scan.co/
LBank,"A world class CEX that provides users with secure, professional and convenient products and services of trading, derivatives, staking and investment",CEX,https://www.lbank.com/
LI.FI,LI.FI is a cross-chain bridge aggregation protocol that supports any-2-any swaps by aggregating bridges and connecting them to DEX aggregators,BRIDGE,https://li.fi/
Laika AI,Laika AI is an on-chain data layer and tooling platform that harnesses AI to bring users advanced analytics.,"DEV TOOLS
DATA SERVICE",https://chromewebstore.google.com/u/3/detail/laika-ai/ehplfgnopmpflglfpldjdodaogebfgpe?hl=en-GB
Layer3,"Layer3 helps consumers navigate the world of crypto through bite-sized lessons, called Quests.","SOCIAL
GASPASS ENABLED",https://layer3.xyz/
LayerBank,"LayerBank is a lending protocol that serves as a liquidity infrastructure for Linea, combining a yield boosting system with an automatic buyback feature for governance tokens.","DEFI
GASPASS ENABLED",https://lineabank.finance/
LayerZero Labs,LayerZero is a blockchain messaging protocol that seamlessly connects over 30 blockchains and facilitates transparent and secure cross-chain messaging.,"INFRA
BRIDGE",https://layerzero.network/
Layerswap,"Layerswap is the seamless solution for bridging assets across Centralized Exchanges, blockchains and wallets in a matter of minutes.","BRIDGE
GASPASS ENABLED",https://layerswap.io/
Ledgity,Ledgity is a treasury management protocol backed by Real World Assets offering 7% APR on USDC. A simple way to securely earn a return on your stablecoins.,DEFI,https://ledgity.finance/
LimeChain,"We provide high-quality blockchain consulting and development services. We don’t develop blockchain promises, we develop blockchain results.",DEV TOOLS,https://limechain.tech/
Linea Name Service,"The first omnichain naming service on Linea. Join the Web3 identity ownership revolution with LineaNS, securing your unique domain across all blockchains.",IDENTITY,https://lineans.domains/
Linea Safe,"Linea custom UI for Official Safe deployment on Linea, providing Safe multisig wallet with zodiac modules to all Linea users.",DEV TOOLS,https://safe.linea.build/
Linea for Humans by Noves,"Linea for Humans - simply and clearly view what happened on Linea, for every account with human-friendly descriptions.",DATA SERVICE,https://linea.forhumans.app/
Linear AG,"Linear is a DEX aggregator on the Linea Network, designed to simplify cross-chain liquidity access.",DEFI,https://app.linear.ag/
Lit Protocol,"Lit is distributed key management for encryption, signing, and compute.",INFRA,https://litprotocol.com/
Loki.code,"Lokicode is a DevOps platform for Web3 teams developing dApps. Easily manage, compile, test and deploy smart contracts.",DEV TOOLS,https://www.lokicode.io/
Lynex,"Linea's native on-chain liquidity marketplace. Powered by cutting-edge DEX infrastructure, it offers a highly capital-efficient DeFi solution.","DEFI
GASPASS ENABLED",https://www.lynex.fi/
Lynx,"An advanced decentralized perpetuals exchange offering up to 100x leverage trading on crypto, forex, and commodities. Trade with any asset as collateral without selling your holdings.",DEFI,https://www.lynx.finance/
Lyve Finance,"First native omni-chain ve(3,3) DEX  at Linea that enables #LSD asset farming on layer2 with LayerZero.","DEFI
GASPASS ENABLED",https://www.lyvefi.xyz/
MEEET Labs,MEEET is a social & AIGC based blockchain game platform.,ENTERTAINMENT,https://www.meeet.xyz/
MES Protocol,MES is a cross-rollup orderbook DEX that enables seamless liquidity flow across rollups; users can match orders with those on other rollups in one orderbook.,DEFI,https://www.mesprotocol.com/
MEXC,"Founded in 2018, MEXC is known as the exchange of high-performance and mega transaction matching technology, covering 10 million users in over 170 countries.",DEFI,https://www.mexc.com/
Macaw Club,Macaw is a fully decentralized mobile first on-chain Casino.,ENTERTAINMENT,https://www.macaw.club/
Mean Finance,"Mean Finance is the go-to platform for decentralized investment tools, fostering responsible and diversified exposure to the emerging crypto asset thesis.",DEFI,https://mean.finance/swap/linea?utm_source=linea-ecosystem
Mendi Finance,"Mendi Finance is a Linea-native decentralized lending protocol, that gives 100% of its profits to stakers & uses bribe-reward tokenomics to provide high yields","DEFI
GASPASS ENABLED",https://mendi.finance/
Meson,A leading unified stablecoin bridging protocol providing a seamless x-chain experience for ETH & stablecoins across 30 high-performance public chains & layer-2/3 solutions.,BRIDGE,https://meson.fi/
Meta Apes,Free-to-play and win-to-earn MMO strategy mobile game set in a post-apocalyptic world where the players must use their strategic prowess to conquer the world.,ENTERTAINMENT,https://metaapesgame.com/
Meta Merge,"Meta Merge is a metaverse combining AIGC, NFTs, DeFi, and Gaming. We cordially invite the community to collaborate to develop the AIGC experience.",ENTERTAINMENT,https://www.metamerge.xyz/
MetaMask,Deep integration with MetaMask simplifies user onboarding and exposes dapps directly to 30mm monthly active users.,WALLET,https://metamask.io/
